,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,CID5287473,"Carbohydrates_90; Carbohydrates_95;
",F[C@@H]1[C@@H](O)[C@@H](O)[C@H](OC1[O-])CO,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>0</sub>FO<sub>5</sub>,181.139,12,12,1,12,1,3,5
0,AHR-(1-3)XYS-(1-4)XYS,"Carbohydrates_90;
",O([C@@H]1[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](OC2)O)OC[C@H]1O)[C@@H]1O[C@H]([C@H](O)[C@H]1O)CO,,,,,,,,,C<sub>1</sub><sub>5</sub>H<sub>2</sub><sub>6</sub>O<sub>1</sub><sub>3</sub>,414.359,28,28,3,30,5,8,13
0,BGC-(1-3)BGC-(1-4)BGC,"Carbohydrates_90;
",O([C@@H]1[C@@H](O)[C@H](O[C@@H]([C@H]1O)CO)O[C@H]1[C@H](O)[C@@H](O)CO[C@@H]1CO)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>5</sub>,488.438,33,33,3,35,7,10,15
0,BGC-(1-3)BGC,"Other_95; Other_90; Carbohydrates_90; Carbohydrates_95;
",O([C@@H]1[C@H](O)[C@H](O[C@@H](O)[C@@H]1O)CO)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>2</sub>O<sub>1</sub><sub>1</sub>,342.296,23,23,2,24,4,8,11
0,BHG-(2-1)FUC,"Other_90; Carbohydrates_90;
",O([C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]1OCCCCCC)CO)[C@@H]1O[C@H]([C@@H](O)[C@@H](O)[C@@H]1O)C,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>4</sub>O<sub>1</sub><sub>0</sub>,410.457,28,28,2,29,9,6,10
0,Cellotriose,"Carbohydrates_90;
",O1[C@@H]([C@@H](O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@@H]2O)CO)[C@H](O)[C@H](O)[C@H]1O[C@H]1[C@H](O)[C@H](O)[C@@H](O[C@@H]1CO)O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>6</sub>,504.437,34,34,3,36,7,11,16
0,BMA-(4-1)BMA,"Other_95; Other_90; Carbohydrates_90; Carbohydrates_95;
",O([C@@H]1[C@H](O)[C@H](O)CO[C@@H]1CO)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@@H]1O)CO,,,,,,,,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>2</sub>O<sub>1</sub><sub>0</sub>,326.297,22,22,2,23,4,7,10
0,BUT-(4-1)GLC-(4-1)GLC,"Other_90; Carbohydrates_90; Carbohydrates_95;
",O([C@@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)OCCCC)[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO,,,,,,,,,C<sub>1</sub><sub>6</sub>H<sub>3</sub><sub>0</sub>O<sub>1</sub><sub>1</sub>,398.403,27,27,2,28,8,7,11
0,"2,3-DIDEOXYFUCOSE","Carbohydrates_90;
",O1[C@@H]([C@@H](O)CC[C@@H]1O)C,,,,,,,,,C<sub>6</sub>H<sub>1</sub><sub>2</sub>O<sub>3</sub>,132.158,9,9,1,9,0,2,3
0,Cellotriose,"Carbohydrates_90;
",O1[C@@H]([C@@H](O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CO)[C@H](O)[C@@H](O)[C@H]1O[C@H]1[C@H](O)[C@@H](O)C(O[C@@H]1CO)O)CO,,,,,,,,,C<sub>1</sub><sub>8</sub>H<sub>3</sub><sub>2</sub>O<sub>1</sub><sub>6</sub>,504.437,34,34,3,36,7,11,16
